cid,cname
1,数据库系统
2,面向对象开发技术
3,操作系统
4,数据结构
5,离散数学(双语1)
6,计算机组成原理
7,软件工程(双语)
8,计算机网络
9,高级程序设计语言java
10,微积分
11,大学综合英语
12,线性代数
13,概率与统计
14,Web技术
15,模式识别技术
16,算法分析与设计
17,生物信息学
18,数值计算
19,"IBM XML认证"
20,概率与统计
21,离散数学(双语2)
22,Linux应用
23,计算机引论
24,软件项目管理
25,软件测试技术
26,计算智能
27,运筹学
28,中间件技术
29,计算机体系结构
30,算法导论
cid,cname
1,数据库
2,面向对象
3,操作系统
4,数据结构
5,离散数学
6,计算机组成原理
7,软件工程
8,计算机网络
9,高级程序设计语言java
